player_id,Player,Matches,SnV Freq,SnV W%,Net Freq,Net W%,FH Wnr%,FH DTL Wnr%,FH IO Wnr%,BH Wnr%,BH DTL Wnr%,Drop Freq,Drop Wnr%,RallyAgg,ReturnAgg
143,Viktor Troicki,21,0.034,0.636,0.114,0.624,0.069,0.115,0.054000000000000006,0.07400000000000001,0.221,0.009000000000000001,0.525,-30,-8
144,Ivan Lendl,92,0.18100000000000002,0.639,0.171,0.6679999999999999,0.12300000000000001,0.18600000000000003,0.079,0.087,0.262,0.005,0.316,-52,-39
145,Frances Tiafoe,53,0.039,0.5579999999999999,0.121,0.657,0.149,0.20199999999999999,0.158,0.08199999999999999,0.233,0.02,0.27399999999999997,-5,2
146,Diego Schwartzman,113,0.006,0.7070000000000001,0.08800000000000001,0.6890000000000001,0.08900000000000001,0.136,0.057,0.06,0.254,0.012,0.386,-67,-63
147,Philipp Kohlschreiber,41,0.006,0.778,0.091,0.675,0.149,0.183,0.136,0.099,0.28300000000000003,0.019,0.32799999999999996,-4,-1
148,Pablo Cuevas,37,0.021,0.6729999999999999,0.076,0.737,0.134,0.192,0.081,0.066,0.196,0.006999999999999999,0.423,-19,-4
149,Richard Krajicek,21,0.862,0.636,0.429,0.63,0.19,0.244,0.126,0.23600000000000002,0.44299999999999995,0.003,0.25,43,85
150,Marin Cilic,91,0.021,0.66,0.096,0.698,0.16899999999999998,0.195,0.14300000000000002,0.076,0.289,0.008,0.35600000000000004,35,45
151,Alexandr Dolgopolov,24,0.013999999999999999,0.609,0.07400000000000001,0.716,0.174,0.233,0.138,0.094,0.327,0.019,0.34299999999999997,29,32
152,Juan Martin Del Potro,144,0.006,0.6459999999999999,0.077,0.67,0.158,0.19899999999999998,0.12,0.067,0.254,0.008,0.3,-48,-25
153,Filip Krajinovic,35,0.043,0.708,0.126,0.7340000000000001,0.09699999999999999,0.153,0.08900000000000001,0.09699999999999999,0.29100000000000004,0.019,0.413,-23,-30
154,Jordan Thompson,22,0.078,0.705,0.126,0.7070000000000001,0.09300000000000001,0.111,0.10300000000000001,0.057,0.166,0.005,0.226,-47,-27
155,Vasek Pospisil,24,0.10300000000000001,0.78,0.142,0.7070000000000001,0.16899999999999998,0.24100000000000002,0.09300000000000001,0.047,0.19399999999999998,0.008,0.405,49,64
156,Alex De Minaur,73,0.012,0.71,0.124,0.7,0.105,0.142,0.049,0.052000000000000005,0.18100000000000002,0.006999999999999999,0.32899999999999996,-75,-62
